Filename,Additional Info,Target Directory
TRT00003116,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00012717,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00012718,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003099,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003103,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003104,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003105,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003106,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003107,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003113,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003114,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002249,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002250,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002251,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002239,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
